#type Date UTC      F_10_7       F81      KP
#type=R - Real Data;  type=F - Forec
R 2002/05/29    185.000    182.679      2.000
R 2002/05/30    180.000    182.691      2.000
R 2002/05/31    182.000    182.691      3.000
R 2002/06/01    179.000    182.704      3.000
R 2002/06/02    175.000    182.593      3.000
R 2002/06/03    170.000    182.457      3.000
R 2002/06/04    170.000    182.383      3.000
R 2002/06/05    159.000    182.062      3.000
R 2002/06/06    155.000    181.704      3.000
R 2002/06/07    158.000    181.457      3.000
R 2002/06/08    155.000    181.210      3.000
R 2002/06/09    157.000    180.827      3.000
R 2002/06/10    152.000    180.556      3.000
R 2002/06/11    148.000    180.259      3.000
R 2002/06/12    142.000    179.914      3.000
R 2002/06/13    133.000    179.395      3.000
R 2002/06/14    131.000    178.914      3.000
R 2002/06/15    135.000    178.531      3.000
R 2002/06/16    137.000    178.136      3.000
R 2002/06/17    143.000    177.728      3.000
R 2002/06/18    143.000    177.259      3.000
R 2002/06/19    146.000    176.728      3.000
R 2002/06/20    145.000    176.000      3.000
R 2002/06/21    140.000    175.173      4.000
R 2002/06/22    142.000    174.383      3.000
R 2002/06/23    143.000    173.568      3.000
R 2002/06/24    150.000    172.753      3.000
R 2002/06/25    145.000    171.864      3.000
R 2002/06/26    144.000    171.099      3.000
R 2002/06/27    139.000    170.247      3.000
R 2002/06/28    137.000    169.395      3.000
R 2002/06/29    143.000    168.630      3.000
R 2002/06/30    147.000    168.049      3.000
R 2002/07/01    147.000    167.432      3.000
R 2002/07/02    149.000    166.654      3.000
R 2002/07/03    173.000    166.000      3.000
R 2002/07/04    146.000    165.210      3.000
R 2002/07/05    139.000    164.420      3.000
R 2002/07/06    134.000    163.654      3.000
R 2002/07/07    137.000    162.951      3.000
R 2002/07/08    131.000    162.247      3.000
R 2002/07/09    136.000    161.704      3.000
R 2002/07/10    129.000    161.111      3.000
R 2002/07/11    136.000    160.654      3.000
R 2002/07/12    133.000    160.198      3.000
R 2002/07/13    135.000    159.704      3.000
R 2002/07/14    144.000    159.296      3.000
R 2002/07/15    160.000    159.210      3.000
R 2002/07/16    172.000    159.321      3.000
R 2002/07/17    180.000    159.605      4.000
R 2002/07/18    181.000    160.025      4.000
R 2002/07/19    182.000    160.383      3.000
R 2002/07/20    185.000    160.778      3.000
R 2002/07/21    183.000    161.037      3.000
R 2002/07/22    190.000    161.296      3.000
R 2002/07/23    198.000    161.531      3.000
R 2002/07/24    208.000    161.753      3.000
R 2002/07/25    218.000    162.222      6.000
R 2002/07/26    242.000    162.852      5.000
R 2002/07/27    231.000    163.395      3.000
R 2002/07/28    239.000    164.037      3.000
R 2002/07/29    234.000    164.580      3.000
R 2002/07/30    227.000    165.025      2.000
